area_orginal,area_code,delivery_method,areacode_charge,delivery_date
Oropi,3173,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Upper Papamoa,3175,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Whakamarama,3176,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Minden,3179,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Te Puke,3182,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Upper Papamoa,3183,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Ohinepanea,3186,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Papamoa,3187,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Ngawaro,3188,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Paengaroa,3189,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Waimana,3196,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Otangihaku,3191,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Kawerau,3192,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Edgecumbe,3193,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Awakaponga,3194,Shipping - Bay of Plenty,39,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Glenholme,3010,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Fairy Springs,3015,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Mamaku,3020,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Murupara,3025,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Bellevue,3110,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Gate Pa,3112,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Omokoroa,3114,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Mt Maunganui,3116,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Kairua,3118,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Te Puke,3119,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Coastlands,3120,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Ohope,3121,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Opotiki,3122,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Taneatua,3123,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
Kawerau,3127,Shipping - Bay of Plenty,0,"2023-05-02, 2023-05-09, 2023-05-16, 2023-05-23, 2023-05-30, 2023-06-06, 2023-06-13, 2023-06-20, 2023-06-27, 2023-07-04, 2023-07-11, 2023-07-18, 2023-07-25, 2023-08-01, 2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26, 2023-10-03, 2023-10-10, 2023-10-17, 2023-10-24, 2023-10-31, 2023-11-07, 2023-11-14, 2023-11-21, 2023-11-28, 2023-12-05, 2023-12-12, 2023-12-19
"
