location,rules,weight-dl,operator,deliveryPrice
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 120.00 then fixed price 280.00,120,<,280
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 120.00 then fixed price 420.00,120,=,420
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 180.00 then fixed price 420.00,180,<,420
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 180.00 then fixed price 560.00,180,=,560
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 240.00 then fixed price 560.00,240,<,560
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 5.00 then fixed price 20.00,5,<,20
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 5.00 then fixed price 25.00,5,=,25
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 10.00 then fixed price 25.00,10,<,25
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 10.00 then fixed price 30.00,10,=,30
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 15.00 then fixed price 30.00,15,<,30
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 15.00 then fixed price 40.00,15,=,40
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 20.00 then fixed price 40.00,20,<,40
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 20.00 then fixed price 50.00,20,=,50
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 25.00 then fixed price 50.00,25,<,50
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 25.00 then fixed price 100.00,25,=,100
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 80.00 then fixed price 100.00,80,<,100
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 80.00 then fixed price 200.00,80,=,200
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 120.00 then fixed price 200.00,120,<,200
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 120.00 then fixed price 300.00,120,=,300
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 180.00 then fixed price 300.00,180,<,300
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 180.00 then fixed price 400.00,180,=,400
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 240.00 then fixed price 400.00,240,<,400
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 5.00 then fixed price 20.00,5,<,20
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 5.00 then fixed price 25.00,5,=,25
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 10.00 then fixed price 25.00,10,<,25
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 10.00 then fixed price 30.00,10,=,30
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 15.00 then fixed price 30.00,15,<,30
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 15.00 then fixed price 40.00,15,=,40
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 20.00 then fixed price 40.00,20,<,40
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 20.00 then fixed price 50.00,20,=,50
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 25.00 then fixed price 50.00,25,<,50
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 25.00 then fixed price 100.00,25,=,100
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 80.00 then fixed price 100.00,80,<,100
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 80.00 then fixed price 200.00,80,=,200
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 120.00 then fixed price 200.00,120,<,200
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 120.00 then fixed price 300.00,120,=,300
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 180.00 then fixed price 300.00,180,<,300
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 180.00 then fixed price 400.00,180,=,400
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 240.00 then fixed price 400.00,240,<,400
Applicable Shipping Charge: Our Customer Support will Contact you to Confirm Shipping Charge,=,=,=,=
Click & Collect,=,=,=,=
