location,rules,weight-dl,operator,deliveryPrice
Shipping - Auckland (From Silverdale to Pokeno),if weight < 5.00 then fixed price 6.00,5,<,6
Shipping - Auckland (From Silverdale to Pokeno),if weight == 5.00 then fixed price 8.00,5,=,8
Shipping - Auckland (From Silverdale to Pokeno),if weight < 10.00 then fixed price 8.00,10,<,8
Shipping - Auckland (From Silverdale to Pokeno),if weight == 10.00 then fixed price 12.00,10,=,12
Shipping - Auckland (From Silverdale to Pokeno),if weight < 15.00 then fixed price 12.00,15,<,12
Shipping - Auckland (From Silverdale to Pokeno),if weight == 15.00 then fixed price 20.00,15,=,20
Shipping - Auckland (From Silverdale to Pokeno),if weight < 20.00 then fixed price 20.00,20,<,20
Shipping - Auckland (From Silverdale to Pokeno),if weight == 20.00 then fixed price 35.00,20,=,35
Shipping - Auckland (From Silverdale to Pokeno),if weight < 25.00 then fixed price 35.00,25,<,35
Shipping - Auckland (From Silverdale to Pokeno),if weight == 25.00 then fixed price 55.00,25,=,55
Shipping - Auckland (From Silverdale to Pokeno),if weight < 80.00 then fixed price 55.00,80,<,55
Shipping - Auckland (From Silverdale to Pokeno),if weight == 80.00 then fixed price 90.00,80,=,90
Shipping - Auckland (From Silverdale to Pokeno),if weight < 240.00 then fixed price 90.00,240,<,90
Shipping - Waiheke,if weight < 5.00 then fixed price 15.00,5,<,15
Shipping - Waiheke,if weight == 5.00 then fixed price 15.00,5,=,15
Shipping - Waiheke,if weight < 10.00 then fixed price 15.00,10,<,15
Shipping - Waiheke,if weight == 10.00 then fixed price 20.00,10,=,20
Shipping - Waiheke,if weight < 15.00 then fixed price 20.00,15,<,20
Shipping - Waiheke,if weight == 15.00 then fixed price 25.00,15,=,25
Shipping - Waiheke,if weight < 20.00 then fixed price 25.00,20,<,25
Shipping - Waiheke,if weight == 20.00 then fixed price 35.00,20,=,35
Shipping - Waiheke,if weight < 25.00 then fixed price 35.00,25,<,35
Shipping - Waiheke,if weight == 25.00 then fixed price 100.00,25,=,100
Shipping - Waiheke,if weight < 80.00 then fixed price 100.00,80,<,100
Shipping - Waiheke,if weight == 80.00 then fixed price 150.00,80,=,150
Shipping - Waiheke,if weight < 120.00 then fixed price 150.00,120,<,150
Shipping - Waiheke,if weight == 120.00 then fixed price 250.00,120,=,250
Shipping - Waiheke,if weight < 180.00 then fixed price 250.00,180,<,250
Shipping - Waiheke,if weight == 180.00 then fixed price 300.00,180,=,300
Shipping - Waiheke,if weight < 240.00 then fixed price 300.00,240,<,300
Shipping - Northland (Others),if weight < 5.00 then fixed price 22.00,5,<,22
Shipping - Northland (Others),if weight == 5.00 then fixed price 40.00,5,=,40
Shipping - Northland (Others),if weight < 10.00 then fixed price 40.00,10,<,40
Shipping - Northland (Others),if weight == 10.00 then fixed price 45.00,10,=,45
Shipping - Northland (Others),if weight < 20.00 then fixed price 45.00,20,<,45
Shipping - Northland (Others),if weight == 20.00 then fixed price 100.00,20,=,100
Shipping - Northland (Others),if weight < 240.00 then fixed price 100.00,240,<,100
"Shipping -  Northland (Mangawhai, Whangarei)",if weight < 5.00 then fixed price 22.00,5,<,22
"Shipping -  Northland (Mangawhai, Whangarei)",if weight == 5.00 then fixed price 40.00,5,=,40
"Shipping -  Northland (Mangawhai, Whangarei)",if weight < 10.00 then fixed price 40.00,10,<,40
"Shipping -  Northland (Mangawhai, Whangarei)",if weight == 10.00 then fixed price 45.00,10,=,45
"Shipping -  Northland (Mangawhai, Whangarei)",if weight < 20.00 then fixed price 45.00,20,<,45
"Shipping -  Northland (Mangawhai, Whangarei)",if weight == 20.00 then fixed price 55.00,20,=,55
"Shipping -  Northland (Mangawhai, Whangarei)",if weight < 80.00 then fixed price 55.00,80,<,55
"Shipping -  Northland (Mangawhai, Whangarei)",if weight == 80.00 then fixed price 90.00,80,=,90
"Shipping -  Northland (Mangawhai, Whangarei)",if weight < 240.00 then fixed price 90.00,240,<,90
Shipping Fragile/Bulk Surcharge,=,=,=,=
Normal Delivery Charges,=,=,=,=
Shipping - Northland (Warkworth),if weight < 5.00 then fixed price 22.00,5,<,22
Shipping - Northland (Warkworth),if weight == 5.00 then fixed price 40.00,5,=,40
Shipping - Northland (Warkworth),if weight < 10.00 then fixed price 40.00,10,<,40
Shipping - Northland (Warkworth),if weight == 10.00 then fixed price 45.00,10,=,45
Shipping - Northland (Warkworth),if weight < 20.00 then fixed price 45.00,20,<,45
Shipping - Northland (Warkworth),if weight == 20.00 then fixed price 55.00,20,=,55
Shipping - Northland (Warkworth),if weight < 80.00 then fixed price 55.00,80,<,55
Shipping - Northland (Warkworth),if weight == 80.00 then fixed price 55.00,80,=,55
Shipping - Northland (Warkworth),if weight < 240.00 then fixed price 90.00,240,<,90
Shipping -  Gisborne,if weight < 5.00 then fixed price 22.00,5,<,22
Shipping -  Gisborne,if weight == 5.00 then fixed price 40.00,5,=,40
Shipping -  Gisborne,if weight < 10.00 then fixed price 40.00,10,<,40
Shipping -  Gisborne,if weight == 10.00 then fixed price 45.00,10,=,45
Shipping -  Gisborne,if weight < 20.00 then fixed price 45.00,20,<,45
Shipping -  Gisborne,if weight == 20.00 then fixed price 100.00,20,=,100
Shipping -  Gisborne,if weight < 25.00 then fixed price 100.00,25,<,100
Shipping -  Gisborne,if weight == 25.00 then fixed price 150.00,25,=,150
Shipping -  Gisborne,if weight < 80.00 then fixed price 150.00,80,<,150
Shipping -  Gisborne,if weight == 80.00 then fixed price 200.00,80,=,200
Shipping -  Gisborne,if weight < 120.00 then fixed price 200.00,120,<,200
Shipping -  Gisborne,if weight == 120.00 then fixed price 300.00,120,=,300
Shipping -  Gisborne,if weight < 180.00 then fixed price 300.00,180,<,300
Shipping -  Gisborne,if weight == 180.00 then fixed price 350.00,180,=,350
Shipping -  Gisborne,if weight < 240.00 then fixed price 350.00,240,<,350
Shipping -  Manawatu- Wanganui,if weight < 5.00 then fixed price 22.00,5,<,22
Shipping -  Manawatu- Wanganui,if weight == 5.00 then fixed price 40.00,5,=,40
Shipping -  Manawatu- Wanganui,if weight < 10.00 then fixed price 40.00,10,<,40
Shipping -  Manawatu- Wanganui,if weight == 10.00 then fixed price 45.00,10,=,45
Shipping -  Manawatu- Wanganui,if weight < 20.00 then fixed price 45.00,20,<,45
Shipping -  Manawatu- Wanganui,if weight == 20.00 then fixed price 50.00,20,=,50
Shipping -  Manawatu- Wanganui,if weight < 25.00 then fixed price 50.00,25,<,50
Shipping -  Manawatu- Wanganui,if weight == 25.00 then fixed price 120.00,25,=,120
Shipping -  Manawatu- Wanganui,if weight < 80.00 then fixed price 120.00,80,<,120
Shipping -  Manawatu- Wanganui,if weight == 80.00 then fixed price 200.00,80,=,200
Shipping -  Manawatu- Wanganui,if weight < 120.00 then fixed price 200.00,120,<,200
Shipping -  Manawatu- Wanganui,if weight == 120.00 then fixed price 300.00,120,=,300
Shipping -  Manawatu- Wanganui,if weight < 180.00 then fixed price 300.00,180,<,300
Shipping -  Manawatu- Wanganui,if weight == 180.00 then fixed price 350.00,180,=,350
Shipping -  Manawatu- Wanganui,if weight < 240.00 then fixed price 350.00,240,<,350
Shipping -  Wellington,if weight < 5.00 then fixed price 22.00,5,<,22
Shipping -  Wellington,if weight == 5.00 then fixed price 40.00,5,=,40
Shipping -  Wellington,if weight < 10.00 then fixed price 40.00,10,<,40
Shipping -  Wellington,if weight == 10.00 then fixed price 45.00,10,=,45
Shipping -  Wellington,if weight < 20.00 then fixed price 45.00,20,<,45
Shipping -  Wellington,if weight == 20.00 then fixed price 50.00,20,=,50
Shipping -  Wellington,if weight < 25.00 then fixed price 50.00,25,<,50
Shipping -  Wellington,if weight == 25.00 then fixed price 120.00,25,=,120
Shipping -  Wellington,if weight < 80.00 then fixed price 120.00,80,<,120
Shipping -  Wellington,if weight == 80.00 then fixed price 200.00,80,=,200
Shipping -  Wellington,if weight < 120.00 then fixed price 200.00,120,<,200
Shipping -  Wellington,if weight == 120.00 then fixed price 300.00,120,=,300
Shipping -  Wellington,if weight < 180.00 then fixed price 300.00,180,<,300
Shipping -  Wellington,if weight == 180.00 then fixed price 350.00,180,=,350
Shipping -  Wellington,if weight < 240.00 then fixed price 300.00,240,<,300
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight < 5.00 then fixed price 20.00,5,<,20
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight == 5.00 then fixed price 28.00,5,=,28
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight < 10.00 then fixed price 28.00,10,<,28
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight == 10.00 then fixed price 40.00,10,=,40
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight < 20.00 then fixed price 40.00,20,<,40
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight == 20.00 then fixed price 60.00,20,=,60
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight < 25.00 then fixed price 60.00,25,<,60
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight == 25.00 then fixed price 100.00,25,=,100
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight < 80.00 then fixed price 100.00,80,<,100
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight == 80.00 then fixed price 200.00,80,=,200
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight < 120.00 then fixed price 200.00,120,<,200
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight == 120.00 then fixed price 300.00,120,=,300
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight < 180.00 then fixed price 300.00,180,<,300
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight == 180.00 then fixed price 400.00,180,=,400
"Shipping -  Cantebury Zone 1 (Kaikoura, Cheviot, Amberley, Woodend, Rangiora, Kaiapoi)",if weight < 240.00 then fixed price 400.00,240,<,400
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight < 5.00 then fixed price 20.00,5,<,20
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight == 5.00 then fixed price 28.00,5,=,28
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight < 10.00 then fixed price 28.00,10,<,28
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight == 10.00 then fixed price 40.00,10,=,40
