name,sku,description,brand,price,quantity,width,height,length,weight,weightucm,delivery,code,area,region,ddate,charge,fragile,ddate
1:8 Pagani Huayra Bc Bricks Assemble Car,97910," style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px; font-family: Lato, Arial, Helvetica, sans-serif; font-size: 14px; color: rgb(85, 85, 85);"">The trademarks PAGANI and Pagani Automobili and Huayra and Zonda are registered trademarks and used under license from HORACIO PAGANI S.P.A., Italy. style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px; font-family: Lato, Arial, Helvetica, sans-serif; font-size: 14px; color: rgb(85, 85, 85);"">Vehicle Size:&nbsp;60.9 x 26.4 x 15cm (L x W x H)<b style=""font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; text-align: inherit;"">Color:<span style=""font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; text-align: inherit;""><span style=""font-weight: inherit;"">&nbsp;One style</span></span><span style=""font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; text-align: inherit;"">Features &amp; Function</span><span style=""font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; font-weight: inherit; text-align: inherit;"">1. For age 14+</span><span style=""font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; font-weight: inherit; text-align: inherit;"">2. This Assemble Car consists of&nbsp; 2934pcs spare parts</span><span style=""font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; font-weight: inherit; text-align: inherit;"">3. With one set DIY Label for car body, doors can be opened by hand</span><span style=""font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; text-align: inherit;""><span style=""font-weight: inherit;"">4. Without R/C function</span></span><span style=""font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; text-align: inherit;"">Feature 2:</span><span style=""font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; font-weight: inherit; text-align: inherit;"">This 1:8 Pagani car is created with 2934pcs spare parts, it’s a great gift for the car lovers &amp; future engineers.</span><span style=""font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; font-weight: inherit; text-align: inherit;"">The car’s doors can be opened by hand, it also with the steering wheel and comes in luxurious box packaging.</span>",Idiya,165.62,21,234,60,60,8.5,kg,Shipping - Bay of Plenty,3177,Athenree,Bay of Plenty,,39,79,
3D Beige Color Pattern Wallpaper by IDIYA Ltd.,100.000.83," style=""box-sizing: inherit; margin-bottom: 1.5em; padding: 0px;"">If you want to achieve that warm and cosy ambience in your bach or home, the 3D&nbsp;Beige Wallpaper is something that you should take a squiz at.It is a waterproof and lightweight vinyl un-prepasted wallpaper designed to impress your&nbsp;family and visitors and make them feel at home. With its superior standard quality, this&nbsp;can surely last on your walls for a long time.&nbsp;Whether you want to use it in your restaurant, office, living room, bedroom, study area, kid’s&nbsp;play area, etc., this wallpaper will instantly set the mood of your space and showcase your&nbsp;creative side. Meanwhile, its subtle beige colour will make a great pair to any of your furniture&nbsp;and decorations at home. Plus, it’s designed to be fairly quick and easy to install, so you can&nbsp;&nbsp;do it yourself without a hassle.&nbsp;&nbsp;The 3D Beige Wallpaper set comes with one (1) glue and one (1) primer. Thus, no need to worry&nbsp;about buying other materials for installation or hiring someone else to do it for you.Material: Vinyl TexturedSize- 0.53m x 10m=5.3 sq. metreUsage: Feature walls, Retail, Restaurants, Living room, Bedding room,&nbsp;Study, Kids’ room, TV Background etc.Color tones can vary due to lighting in the room and computer screen resolutions.If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,29.58,8,53,0.5,1000,2,kg,Shipping - Bay of Plenty,3178,Katikati,Bay of Plenty,,39,,
3D Brick Pattern Wallpaper,100.000.65,"Vinyl Un-prepasted Wallpaper.

Brief introduction
3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.

This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.

High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.

Material: Vinyl TexturedSize: 0.53m x 10m=5.3 sq. metre

Usage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.

Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,29.58,9,53,0.5,1000,2,kg,Shipping - Bay of Plenty,3079,Ruatahuna,Bay of Plenty,,39,,
3D Brown Brick Pattern Wallpaper by IDIYA Ltd.,100.000.64,"Vinyl Un-prepasted Wallpaper.Brief introduction3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.Material: Vinyl TexturedSize: 0.53m x 10m=5.3 sq. metreUsage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,29.58,11,53,0.5,1000,2,kg,Shipping - Bay of Plenty,3197,Toatoa,Bay of Plenty,,39,,
3D Brown Leather Cushion Pattern Wallpaper by IDIYA Ltd.,100.000.99,"Vinyl Un-prepasted Wallpaper.design-L91202

Brief introduction
3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.

This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.

High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.

Material: Vinyl Textured

Size: 0.53m x 10m=5.3 sq. metre

Usage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.

Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,29.58,6,53,0.5,1000,2,kg,Shipping - Bay of Plenty,3198,Waimana,Bay of Plenty,,39,,
3D Cafe Kettels and Cutlery Pattern Wallpaper by IDIYA Ltd.,100.001.00,"Vinyl Un-prepasted Wallpaper.Brief introduction3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.Material: Vinyl TexturedSize: 0.53m x 10m=5.3 sq. metreUsage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.

",Idiya,29.58,16,53,0.5,1000,2,kg,Shipping - Bay of Plenty,3077,Guthrie,Bay of Plenty,,39,,
3D Dark Brown Color Pattern Wallpaper by IDIYA Ltd.,100.000.84,"Vinyl Un-prepasted Wallpaper.Brief introduction3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.Material: Vinyl TexturedSize: 0.53m x 10m=5.3 sq. metreUsage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,29.58,12,53,0.5,1000,2,kg,Shipping - Bay of Plenty,3074,Tikitere,Bay of Plenty,,39,,
3D Dark Brown Wood Pattern Wallpaper by IDIYA Ltd.,100.000.86,"Vinyl Un-prepasted WallpaperBrief introduction3D wallpaper, uses environment-friendly raw materials which is feature in lightweight, easy to install, water poof, and DIY.This wallpaper requires wallpaper paste(Wallpaper paste not included). Please see sellers other listings if you want to buy wallpaper paste.High Standard Wallpaper Quality, Waterproof. Please buy enough rolls at a time to make sure they come from the same batch to avoid color difference.Material: Vinyl TexturedSize: 0.53m x 10m=5.3 sq. metreUsage: Feature walls, Retail, Restaurants, Living room, Bedding room, Study, Kids’ room, TV Background etc.Color tones can vary due to lighting in the room and computer screen resolutions. If you wish to purchase more than 2 rolls, then please contact us for shipping.",Idiya,38.45,13,53,0.5,1000,2,kg,Shipping - Bay of Plenty,3076,Punaroma,Bay of Plenty,,39,,
